0
"('deactivated', 'technical activation')"
"('deactivated', 'winback')"
"('general leave', 'None')"
"('winback', 'initial enrollment')"
"('technical reactivation', 'general leave')"
"('cancelled', 'general leave')"
"('initial enrollment', 'winback')"
"('medical leave', 'initial enrollment')"
"('cancelled', 'deactivated')"
"('winback', 'parental leave')"
"('cancelled', 'technical reactivation')"
"('deactivated', 'technical reactivation')"
"('deactivated', 'medical leave')"
"('cancelled', 'medical leave')"
"('technical reactivation', 'deactivated')"
"('parental leave', 'initial enrollment')"
"('medical leave', 'parental leave')"
"('technical reactivation', 'initial enrollment')"
"('parental leave', 'medical leave')"
